"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 20 12:52:22 GMT 2023","Thu Apr 20 12:52:22 GMT 2023","273","","test_con","TestConduit","","","test_pages",""
"passed","Thu Apr 20 12:52:27 GMT 2023","Thu Apr 20 12:52:29 GMT 2023","2117","","test_con","TestConduit","","","test_delete_article",""
"passed","Thu Apr 20 12:52:33 GMT 2023","Thu Apr 20 12:52:34 GMT 2023","893","","test_con","TestConduit","","","test_logout",""
"passed","Thu Apr 20 12:52:23 GMT 2023","Thu Apr 20 12:52:25 GMT 2023","2077","","test_con","TestConduit","","","test_new_article",""
"passed","Thu Apr 20 12:52:12 GMT 2023","Thu Apr 20 12:52:13 GMT 2023","1067","","test_con","TestConduit","","","test_accept",""
"passed","Thu Apr 20 12:52:30 GMT 2023","Thu Apr 20 12:52:32 GMT 2023","2080","","test_con","TestConduit","","","test_save_data_to_file",""
"passed","Thu Apr 20 12:52:11 GMT 2023","Thu Apr 20 12:52:11 GMT 2023","27","","test_con","TestConduit","","","test_open",""
"passed","Thu Apr 20 12:52:18 GMT 2023","Thu Apr 20 12:52:18 GMT 2023","836","","test_con","TestConduit","","","test_login",""
"passed","Thu Apr 20 12:52:20 GMT 2023","Thu Apr 20 12:52:21 GMT 2023","1294","","test_con","TestConduit","","","test_article_title_list",""
"passed","Thu Apr 20 12:52:14 GMT 2023","Thu Apr 20 12:52:17 GMT 2023","2468","","test_con","TestConduit","","","test_sign_up",""
