"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 22 09:33:01 GMT 2023","Sat Apr 22 09:33:01 GMT 2023","791","","test_con","TestConduit","","","test_article_title_list",""
"passed","Sat Apr 22 09:33:02 GMT 2023","Sat Apr 22 09:33:03 GMT 2023","259","","test_con","TestConduit","","","test_pages",""
"passed","Sat Apr 22 09:33:04 GMT 2023","Sat Apr 22 09:33:06 GMT 2023","2377","","test_con","TestConduit","","","test_new_article",""
"passed","Sat Apr 22 09:33:26 GMT 2023","Sat Apr 22 09:33:28 GMT 2023","2060","","test_con","TestConduit","","","test_save_data_to_file",""
"passed","Sat Apr 22 09:33:14 GMT 2023","Sat Apr 22 09:33:20 GMT 2023","6051","","test_con","TestConduit","","","test_update_settings",""
"passed","Sat Apr 22 09:33:07 GMT 2023","Sat Apr 22 09:33:12 GMT 2023","5248","","test_con","TestConduit","","","test_create_comments_from_file",""
"passed","Sat Apr 22 09:32:54 GMT 2023","Sat Apr 22 09:32:58 GMT 2023","3276","","test_con","TestConduit","","","test_sign_up",""
"passed","Sat Apr 22 09:33:29 GMT 2023","Sat Apr 22 09:33:30 GMT 2023","859","","test_con","TestConduit","","","test_logout",""
"passed","Sat Apr 22 09:33:21 GMT 2023","Sat Apr 22 09:33:25 GMT 2023","4053","","test_con","TestConduit","","","test_delete_article",""
"passed","Sat Apr 22 09:32:52 GMT 2023","Sat Apr 22 09:32:53 GMT 2023","1186","","test_con","TestConduit","","","test_accept",""
"passed","Sat Apr 22 09:32:59 GMT 2023","Sat Apr 22 09:32:59 GMT 2023","809","","test_con","TestConduit","","","test_login",""
"passed","Sat Apr 22 09:32:51 GMT 2023","Sat Apr 22 09:32:51 GMT 2023","61","","test_con","TestConduit","","","test_open",""
