"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 21:05:49 GMT 2023","Sun Apr 23 21:05:49 GMT 2023","34","","test_con","TestConduit","","","test_open",""
"passed","Sun Apr 23 21:06:03 GMT 2023","Sun Apr 23 21:06:06 GMT 2023","3252","","test_con","TestConduit","","","test_new_article",""
"passed","Sun Apr 23 21:06:15 GMT 2023","Sun Apr 23 21:06:22 GMT 2023","6402","","test_con","TestConduit","","","test_update_settings",""
"passed","Sun Apr 23 21:06:23 GMT 2023","Sun Apr 23 21:06:28 GMT 2023","5210","","test_con","TestConduit","","","test_delete_article",""
"passed","Sun Apr 23 21:05:50 GMT 2023","Sun Apr 23 21:05:51 GMT 2023","1110","","test_con","TestConduit","","","test_accept",""
"passed","Sun Apr 23 21:06:29 GMT 2023","Sun Apr 23 21:06:32 GMT 2023","2282","","test_con","TestConduit","","","test_save_data_to_file",""
"passed","Sun Apr 23 21:05:57 GMT 2023","Sun Apr 23 21:05:58 GMT 2023","948","","test_con","TestConduit","","","test_login",""
"passed","Sun Apr 23 21:05:59 GMT 2023","Sun Apr 23 21:06:00 GMT 2023","1385","","test_con","TestConduit","","","test_article_title_list",""
"passed","Sun Apr 23 21:06:33 GMT 2023","Sun Apr 23 21:06:34 GMT 2023","1113","","test_con","TestConduit","","","test_logout",""
"passed","Sun Apr 23 21:05:52 GMT 2023","Sun Apr 23 21:05:56 GMT 2023","3184","","test_con","TestConduit","","","test_sign_up",""
"passed","Sun Apr 23 21:06:08 GMT 2023","Sun Apr 23 21:06:14 GMT 2023","6566","","test_con","TestConduit","","","test_create_comments_from_file",""
"passed","Sun Apr 23 21:06:02 GMT 2023","Sun Apr 23 21:06:02 GMT 2023","362","","test_con","TestConduit","","","test_pages",""
