"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 20:50:53 GMT 2023","Sun Apr 23 20:50:53 GMT 2023","26","","test_con","TestConduit","","","test_open",""
"passed","Sun Apr 23 20:50:56 GMT 2023","Sun Apr 23 20:50:59 GMT 2023","2463","","test_con","TestConduit","","","test_sign_up",""
"passed","Sun Apr 23 20:51:06 GMT 2023","Sun Apr 23 20:51:09 GMT 2023","2843","","test_con","TestConduit","","","test_new_article",""
"passed","Sun Apr 23 20:51:33 GMT 2023","Sun Apr 23 20:51:34 GMT 2023","901","","test_con","TestConduit","","","test_logout",""
"passed","Sun Apr 23 20:51:17 GMT 2023","Sun Apr 23 20:51:23 GMT 2023","6082","","test_con","TestConduit","","","test_update_settings",""
"passed","Sun Apr 23 20:51:04 GMT 2023","Sun Apr 23 20:51:05 GMT 2023","289","","test_con","TestConduit","","","test_pages",""
"passed","Sun Apr 23 20:51:00 GMT 2023","Sun Apr 23 20:51:01 GMT 2023","809","","test_con","TestConduit","","","test_login",""
"passed","Sun Apr 23 20:51:24 GMT 2023","Sun Apr 23 20:51:29 GMT 2023","4894","","test_con","TestConduit","","","test_delete_article",""
"passed","Sun Apr 23 20:51:30 GMT 2023","Sun Apr 23 20:51:32 GMT 2023","2118","","test_con","TestConduit","","","test_save_data_to_file",""
"passed","Sun Apr 23 20:51:02 GMT 2023","Sun Apr 23 20:51:03 GMT 2023","1305","","test_con","TestConduit","","","test_article_title_list",""
"passed","Sun Apr 23 20:51:10 GMT 2023","Sun Apr 23 20:51:15 GMT 2023","5688","","test_con","TestConduit","","","test_create_comments_from_file",""
"passed","Sun Apr 23 20:50:54 GMT 2023","Sun Apr 23 20:50:55 GMT 2023","1080","","test_con","TestConduit","","","test_accept",""
