"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 18:39:16 GMT 2023","Sun Apr 23 18:39:21 GMT 2023","5923","","test_con","TestConduit","","","test_create_comments_from_file",""
"passed","Sun Apr 23 18:39:40 GMT 2023","Sun Apr 23 18:39:41 GMT 2023","964","","test_con","TestConduit","","","test_logout",""
"passed","Sun Apr 23 18:39:06 GMT 2023","Sun Apr 23 18:39:06 GMT 2023","868","","test_con","TestConduit","","","test_login",""
"passed","Sun Apr 23 18:38:58 GMT 2023","Sun Apr 23 18:38:58 GMT 2023","56","","test_con","TestConduit","","","test_open",""
"passed","Sun Apr 23 18:39:36 GMT 2023","Sun Apr 23 18:39:38 GMT 2023","2160","","test_con","TestConduit","","","test_save_data_to_file",""
"passed","Sun Apr 23 18:39:12 GMT 2023","Sun Apr 23 18:39:14 GMT 2023","2901","","test_con","TestConduit","","","test_new_article",""
"passed","Sun Apr 23 18:39:08 GMT 2023","Sun Apr 23 18:39:09 GMT 2023","1329","","test_con","TestConduit","","","test_article_title_list",""
"passed","Sun Apr 23 18:39:02 GMT 2023","Sun Apr 23 18:39:04 GMT 2023","2759","","test_con","TestConduit","","","test_sign_up",""
"passed","Sun Apr 23 18:39:23 GMT 2023","Sun Apr 23 18:39:29 GMT 2023","6242","","test_con","TestConduit","","","test_update_settings",""
"passed","Sun Apr 23 18:39:30 GMT 2023","Sun Apr 23 18:39:35 GMT 2023","5004","","test_con","TestConduit","","","test_delete_article",""
"passed","Sun Apr 23 18:39:10 GMT 2023","Sun Apr 23 18:39:10 GMT 2023","299","","test_con","TestConduit","","","test_pages",""
"passed","Sun Apr 23 18:38:59 GMT 2023","Sun Apr 23 18:39:01 GMT 2023","1150","","test_con","TestConduit","","","test_accept",""
