"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 22 09:35:59 GMT 2023","Sat Apr 22 09:36:01 GMT 2023","2066","","test_con","TestConduit","","","test_save_data_to_file",""
"passed","Sat Apr 22 09:35:54 GMT 2023","Sat Apr 22 09:35:58 GMT 2023","4354","","test_con","TestConduit","","","test_delete_article",""
"passed","Sat Apr 22 09:35:27 GMT 2023","Sat Apr 22 09:35:30 GMT 2023","2573","","test_con","TestConduit","","","test_sign_up",""
"passed","Sat Apr 22 09:35:36 GMT 2023","Sat Apr 22 09:35:38 GMT 2023","2340","","test_con","TestConduit","","","test_new_article",""
"passed","Sat Apr 22 09:35:25 GMT 2023","Sat Apr 22 09:35:26 GMT 2023","1129","","test_con","TestConduit","","","test_accept",""
"passed","Sat Apr 22 09:35:46 GMT 2023","Sat Apr 22 09:35:53 GMT 2023","6071","","test_con","TestConduit","","","test_update_settings",""
"passed","Sat Apr 22 09:35:35 GMT 2023","Sat Apr 22 09:35:35 GMT 2023","266","","test_con","TestConduit","","","test_pages",""
"passed","Sat Apr 22 09:35:40 GMT 2023","Sat Apr 22 09:35:45 GMT 2023","5647","","test_con","TestConduit","","","test_create_comments_from_file",""
"passed","Sat Apr 22 09:36:02 GMT 2023","Sat Apr 22 09:36:03 GMT 2023","846","","test_con","TestConduit","","","test_logout",""
"passed","Sat Apr 22 09:35:24 GMT 2023","Sat Apr 22 09:35:24 GMT 2023","53","","test_con","TestConduit","","","test_open",""
"passed","Sat Apr 22 09:35:31 GMT 2023","Sat Apr 22 09:35:32 GMT 2023","801","","test_con","TestConduit","","","test_login",""
"passed","Sat Apr 22 09:35:33 GMT 2023","Sat Apr 22 09:35:34 GMT 2023","772","","test_con","TestConduit","","","test_article_title_list",""
